순번,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,분기,일반상영관 가격
"5,197 ",불륜혼탕 온천여관,후지타 미키오,(주)도키엔터테인먼트,2017-12-14,일본,1 ,6000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,198 ",붉게 발정난 색녀,이케시마 유타카,(주)도키엔터테인먼트,2017-01-19,일본,1 ,8000,1 ,0,0 ,성인물(에로),청소년관람불가,,
"5,199 ",붉은 비키니,최무연,(주)로드하우스,2017-07-25,한국,1 ,6000,1 ,0,0 ,기타,청소년관람불가,,
"5,200 ",붉은 알몸-격정사,와타나베 모토츠구,(주)도키엔터테인먼트,2016-04-01,일본,1 ,8000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,201 ",브라더 콤플렉스,키베 코스케,(주)영진크리에이티브,2017-05-26,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,202 ",브레이크,오츠루 키탄,(주)영진크리에이티브,2017-05-31,일본,1 ,5000,1 ,0,0 ,액션,15세이상관람가,,
"5,203 ",브룩클린스 파이니스트,안톤 후쿠아,(주)미디어데이,2014-11-13,미국,1 ,8000,1 ,8000,1 ,액션,청소년관람불가,,
"5,204 ",블랙 라이더,가브리엘 세블로프,(주)퍼스트런,2016-11-14,미국,1 ,4000,1 ,4000,1 ,액션,청소년관람불가,,
"5,205 ",블랙 로즈,알렉산더 네브스키,제인앤유,2016-12-28,러시아,1 ,7000,1 ,7000,1 ,액션,청소년관람불가,,
"5,206 ",블랙옵스 vs 좀비닌자,로디 클로드,(주)도키엔터테인먼트,2016-04-13,호주,1 ,7000,1 ,0,0 ,액션,15세이상관람가,,
"5,207 ",블랙홀,마크 스티븐 그로브,주식회사 루믹스미디어,2015-11-26,미국,1 ,5000,1 ,0,0 ,SF,12세이상관람가,,
"5,208 ",블러드 서커스,제이콥 쿠니,모비딕엔터테인먼트(주),2017-12-14,미국,1 ,5000,1 ,0,0 ,액션,15세이상관람가,,
"5,209 ",블러드 앤 초콜렛 ,카챠 본 가르니에,(주)누리픽쳐스,2010-06-10,루마니아,1 ,7000,1 ,7000,1 ,공포(호러),15세이상관람가,,
"5,210 ",비구니자매의비밀애,토모마츠 나오유키,(주)영진크리에이티브,2017-08-29,일본,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,211 ",비디오 속 나의 비밀정사,진노 후토시,(주)영진크리에이티브,2015-12-19,일본,1 ,9000,1 ,9000,1 ,멜로/로맨스,청소년관람불가,,
"5,212 ",비디오 속 내 아내,토미 타로,(주)영진크리에이티브,2017-05-17,일본,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,,
"5,213 ",비마나 미스터리,다니엘 미릭,(유)영화사 화수분,2017-07-27,모로코,1 ,6000,1 ,0,0 ,SF,15세이상관람가,,
